p,S_dim1,S_dim2,S_dim3,chi_dim1,chi_dim2,chi_dim3
0.0,0.005,0.005,0.005,1.3552527156068805e-16,1.3552527156068805e-16,1.3552527156068805e-16
0.05,0.03375,0.021875000000000002,0.005,0.28703703703703753,0.28214285714285675,1.3552527156068805e-16
0.1,0.145625,0.0425,0.006874999999999999,5.729077253218883,1.0588235294117634,0.7159090909090907
0.15,0.5675,0.055625,0.006874999999999999,2.5000000000000036,0.7963483146067428,0.7159090909090907
0.2,0.8043750000000001,0.11187500000000003,0.008749999999999999,0.47465034965034414,5.217178770949711,0.9642857142857144
0.25,0.8868749999999999,0.178125,0.008749999999999999,0.16763565891478555,10.848684210526313,0.9642857142857144
0.3,0.9481249999999999,0.24,0.010624999999999999,0.007827949901169721,9.718750000000005,0.9926470588235294
0.35,0.9706249999999998,0.384375,0.0125,0.010866065679370776,8.229065040650399,0.8999999999999992
0.4,0.9875,0.4781249999999999,0.014375000000000002,0.0037974683544215295,1.725326797385658,0.733695652173912
0.45,0.993125,0.524375,0.014375000000000002,0.003697293895520369,1.9915077473182259,0.733695652173912
0.5,0.9962500000000001,0.57375,0.014375000000000002,0.004705144291069483,1.1476034858387951,0.733695652173912
0.55,0.99875,0.631875,0.014375000000000002,0.0009386733416637925,0.5122403560830826,0.733695652173912
0.6,0.999375,0.6675,0.014375000000000002,0.0005472170106275921,0.3408239700374739,0.733695652173912
0.65,1.0,0.7050000000000001,0.01625,0.0,0.24468085106377918,0.5192307692307695
0.7,1.0,0.72625,0.01625,0.0,0.1527538726334169,0.5192307692307695
0.75,1.0,0.739375,0.018125,0.0,0.0717455621301567,0.27155172413793166
0.8,1.0,0.7575,0.018125,0.0,0.06435643564359025,0.27155172413793166
0.85,1.0,0.776875,0.018125,0.0,0.035297666934834986,0.27155172413793166
0.9,1.0,0.79375,0.02,0.0,0.02952755905511923,5.421010862427522e-16
0.95,1.0,0.8018750000000001,0.02,0.0,0.018608729540121154,5.421010862427522e-16
1.0,1.0,0.8149999999999997,0.02,0.0,1.0897894720246939e-13,5.421010862427522e-16
