sparsity,spectral_radius,prediction_horizon_lya,rmse
0.050,0.700,0.7610,8.140120
0.050,0.750,0.7429,11.685816
0.050,0.800,0.7429,10985767020497.455078
0.050,0.850,0.7248,75967793525841.359375
0.050,0.900,0.7248,27.556951
0.050,0.950,0.7248,27.832766
0.050,1.000,0.7248,58561693880.014450
0.100,0.700,0.7973,9.309015
0.100,0.750,0.7973,10.859980
0.100,0.800,0.7610,11.065946
0.100,0.850,0.7248,9.070890
0.100,0.900,0.6704,11.504521
0.100,0.950,0.6523,7.753621
0.100,1.000,0.6342,1418939.147516
0.150,0.700,1.9570,11.496788
0.150,0.750,0.8154,11.231845
0.150,0.800,0.7792,10398551.431736
0.150,0.850,0.7610,7877.975986
0.150,0.900,0.7429,9.951982
0.150,0.950,0.7429,12.618608
0.150,1.000,0.7610,19.640017
0.200,0.700,1.5040,11.511706
0.200,0.750,0.8879,342516.053802
0.200,0.800,0.7792,11.900179
0.200,0.850,0.7429,21.189581
0.200,0.900,0.7248,1006484235.918676
0.200,0.950,0.7067,454822778.760650
0.200,1.000,0.6886,207737469.286094
0.250,0.700,0.7792,24.972539
0.250,0.750,0.7610,2483773087.366183
0.250,0.800,0.7429,30.621005
0.250,0.850,0.7248,2477476250.984421
0.250,0.900,0.7248,13.002534
0.250,0.950,0.7067,1434.664447
0.250,1.000,0.7067,12.288329
0.300,0.700,0.7067,13.004300
0.300,0.750,0.7067,71020563.354315
0.300,0.800,0.7067,639357.239585
0.300,0.850,0.7067,7.401388
0.300,0.900,0.7067,12.915227
0.300,0.950,0.7067,12.831555
0.300,1.000,0.7067,26.392117
0.350,0.700,0.7792,11.755810
0.350,0.750,0.7610,11.851411
0.350,0.800,0.7610,4723.788192
0.350,0.850,0.7792,9.235470
0.350,0.900,0.7610,6559227.273956
0.350,0.950,0.7610,3513104.618636
0.350,1.000,0.7610,11.402593
0.400,0.700,0.8516,73.224435
0.400,0.750,0.8516,244507.561017
0.400,0.800,0.8516,11.647994
0.400,0.850,0.8154,385211890.544890
0.400,0.900,0.7610,801494552.838842
0.400,0.950,0.7248,26.198123
0.400,1.000,0.7067,1106609076.858092
