epoch,loss,ipr,pr,n_near_zero
50,0.690084296941467,0.12779918319962832,7.824776144601433,86
100,0.6748076884967458,0.1252671343544021,7.982939860113902,82
150,0.6700097109231997,0.15634662871472874,6.396044533998924,85
200,0.6673584471790523,0.11071801476655983,9.03195385239178,83
250,0.6655993257825689,0.1550862081938116,6.448026627553481,84
300,0.6642909034559024,0.15821449919328434,6.320533232408364,82
350,0.6632352372699677,0.15815370132973613,6.322962988486059,78
400,0.6623248714946344,0.14317999979364135,6.984215682645993,76
450,0.661467098514537,0.1472822439117357,6.789684713109659,76
500,0.6606785976620008,0.12350612420214012,8.096764484029302,75
